Date,Open,High,Low,Close,Adj Close,Volume
2022-10-07,8325.0,8375.0,8200.0,8200.0,7751.83203125,112043400
2022-10-10,8150.0,8375.0,8125.0,8300.0,7846.3662109375,80238200
2022-10-11,8200.0,8300.0,8150.0,8250.0,7799.09912109375,64060000
2022-10-12,8200.0,8325.0,8175.0,8325.0,7870.0,47569700
2022-10-13,8275.0,8375.0,8275.0,8275.0,7822.7333984375,62282800
2022-10-14,8300.0,8350.0,8250.0,8250.0,7799.09912109375,70642900
2022-10-17,8250.0,8300.0,8175.0,8250.0,7799.09912109375,56387500
2022-10-18,8275.0,8475.0,8250.0,8300.0,7846.3662109375,85665300
2022-10-19,8250.0,8350.0,8225.0,8275.0,7822.7333984375,66753500
2022-10-20,8250.0,8500.0,8250.0,8500.0,8035.435546875,91812300
2022-10-21,8450.0,8725.0,8450.0,8650.0,8177.23681640625,122777800
2022-10-24,8750.0,8900.0,8725.0,8900.0,8413.5732421875,89416500
2022-10-25,8825.0,8875.0,8700.0,8700.0,8224.5048828125,84696300
2022-10-26,8625.0,8650.0,8550.0,8550.0,8082.70361328125,98962100
2022-10-27,8550.0,8700.0,8550.0,8700.0,8224.5048828125,77003400
2022-10-28,8650.0,8750.0,8650.0,8750.0,8271.7724609375,84980600
2022-10-31,8850.0,8850.0,8775.0,8800.0,8319.041015625,138922800
2022-11-01,9000.0,9000.0,8725.0,8800.0,8319.041015625,118118400
2022-11-02,8800.0,8825.0,8725.0,8750.0,8271.7724609375,68323600
2022-11-03,8700.0,8825.0,8700.0,8800.0,8319.041015625,81856300
2022-11-04,8775.0,8800.0,8675.0,8775.0,8295.40625,84458300
2022-11-07,8725.0,8850.0,8675.0,8850.0,8366.3056640625,94794000
2022-11-08,8850.0,8875.0,8725.0,8750.0,8271.7724609375,42525500
2022-11-09,8675.0,8875.0,8675.0,8875.0,8389.9404296875,96599500
2022-11-10,8725.0,8800.0,8725.0,8800.0,8319.041015625,89463000
2022-11-11,8900.0,8925.0,8825.0,8850.0,8366.3056640625,59597900
2022-11-14,8875.0,8900.0,8750.0,8750.0,8271.7724609375,49208200
2022-11-15,8775.0,8850.0,8750.0,8800.0,8319.041015625,59092900
2022-11-16,8625.0,8675.0,8550.0,8600.0,8129.970703125,143424800
2022-11-17,8625.0,8825.0,8600.0,8725.0,8248.138671875,72679800
2022-11-18,8725.0,8900.0,8725.0,8825.0,8342.6728515625,83556900
2022-11-21,8875.0,8900.0,8725.0,8725.0,8248.138671875,35901000
2022-11-22,8900.0,8950.0,8850.0,8900.0,8413.5732421875,84684200
2022-11-23,8900.0,8975.0,8875.0,8875.0,8389.9404296875,84642100
2022-11-24,8975.0,9000.0,8950.0,9000.0,8508.1083984375,53520800
2022-11-25,9000.0,9000.0,8900.0,8975.0,8484.4755859375,75048300
2022-11-28,9050.0,9100.0,8975.0,9025.0,8531.7412109375,96209700
2022-11-29,8975.0,9075.0,8925.0,8975.0,8484.4755859375,91562100
2022-11-30,8875.0,9400.0,8850.0,9300.0,8791.7109375,644359600
2022-12-01,9275.0,9350.0,9000.0,9000.0,8508.1083984375,155775400
2022-12-02,8900.0,8975.0,8900.0,8900.0,8446.4208984375,130982100
2022-12-05,8800.0,8900.0,8775.0,8775.0,8327.7919921875,114656300
2022-12-06,8725.0,8750.0,8575.0,8675.0,8232.8876953125,180553800
2022-12-07,8500.0,8575.0,8450.0,8450.0,8019.3544921875,229308700
2022-12-08,8375.0,8575.0,8350.0,8500.0,8066.80615234375,172590100
2022-12-09,8500.0,8600.0,8450.0,8575.0,8137.9853515625,90851300
2022-12-12,8525.0,8700.0,8475.0,8700.0,8256.615234375,102851800
2022-12-13,8625.0,8700.0,8550.0,8700.0,8256.615234375,104580200
2022-12-14,8600.0,8700.0,8525.0,8625.0,8185.435546875,118164300
2022-12-15,8575.0,8600.0,8500.0,8500.0,8066.80615234375,113255700
2022-12-16,8425.0,8650.0,8400.0,8600.0,8161.7099609375,181516700
2022-12-19,8650.0,8700.0,8600.0,8650.0,8209.162109375,67482900
